	Start	Marker
0	11322251346	777.0
1	11322451431	6.0
2	11322650641	1.0
3	11322851047	7.0
4	11323052264	2.0
5	11323252323	9.0
6	11323451114	5.0
7	11323651240	12.0
8	11323852766	1.0
9	11324050721	7.0
10	11324250903	0.0
11	11324450903	8.0
12	11324652973	1.0
13	11324853306	12.0
14	11325053399	8.0
15	11325251476	5.0
16	11325453510	9.0
17	11325654726	0.0
18	11325852520	8.0
19	11326052667	2.0
20	11326253878	6.0
21	11326454072	5.0
22	11326654227	12.0
23	11326854224	4.0
24	11327054427	10.0
25	11327254574	5.0
26	11327453496	12.0
27	11327653569	11.0
28	11327853701	4.0
29	11328054385	10.0
30	11328254468	5.0
31	11328454529	7.0
32	11328654673	2.0
33	11328854957	11.0
34	11329055605	4.0
35	11329255617	9.0
36	11329456055	3.0
37	11329655886	8.0
38	11329856019	5.0
39	11330055311	11.0
40	11330255692	12.0
41	11330459460	3.0
42	11330655704	10.0
43	11330855594	4.0
44	11331055935	6.0
45	11331256969	2.0
46	11331457932	9.0
47	11331658195	1.0
48	11331858477	6.0
49	11332059393	4.0
50	11332258001	8.0
51	11332458631	5.0
52	11332658744	11.0
53	11332857078	7.0
54	11333058383	3.0
55	11333258472	6.0
56	11333458647	5.0
57	11333660717	8.0
58	11333860744	2.0
59	11334059613	11.0
60	11334259736	0.0
61	11334459855	12.0
62	11334660012	3.0
63	11334860221	6.0
64	11335060256	0.0
65	11335261543	9.0
66	11335461643	10.0
67	11335661718	1.0
68	11335859893	12.0
69	11336060016	0.0
70	11336260020	7.0
71	11336460164	2.0
72	11336660265	10.0
73	11336860376	3.0
74	11337060458	9.0
75	11337260524	2.0
76	11337460797	8.0
77	11337660882	3.0
78	11337861004	10.0
79	11338063213	7.0
80	11338261250	1.0
81	11338461511	10.0
82	11338661507	2.0
83	11338863412	11.0
84	11339061741	4.0
85	11339261864	9.0
86	11339461888	1.0
87	11339663123	11.0
88	11339861540	3.0
89	11340063486	12.0
90	11340263609	0.0
91	11340463760	6.0
92	11340663824	9.0
93	11340862829	4.0
94	11341063948	7.0
95	11341263672	3.0
96	11341463136	10.0
97	11341663823	4.0
98	11341863939	8.0
99	11342064043	0.0
100	11342264305	6.0
101	11342464237	1.0
102	11342664276	7.0
103	11342864394	0.0
104	11345048482	11.0
105	11346324402	888.0
106	11347336777	777.0
107	11347534964	12.0
108	11347736514	5.0
109	11347935211	6.0
110	11348135321	3.0
111	11348335540	8.0
112	11348535578	2.0
113	11348736832	6.0
114	11348937062	1.0
115	11349137127	11.0
116	11349337449	4.0
117	11349537640	8.0
118	11349737520	3.0
119	11349937634	12.0
120	11350135939	9.0
121	11350337837	0.0
122	11350537995	8.0
123	11350739907	4.0
124	11350938240	7.0
125	11351138254	0.0
126	11351338461	9.0
127	11351538573	4.0
128	11351739035	11.0
129	11351937522	1.0
130	11352138073	10.0
131	11352338350	0.0
132	11352538248	12.0
133	11352738595	7.0
134	11352939423	2.0
135	11353139810	8.0
136	11353337605	1.0
137	11353540644	10.0
138	11353738938	0.0
139	11353939060	6.0
140	11354139123	3.0
141	11354339216	10.0
142	11354539966	4.0
143	11354741428	7.0
144	11354939628	5.0
145	11355139846	11.0
146	11355339822	6.0
147	11355540277	2.0
148	11355740100	7.0
149	11355940278	3.0
150	11356141310	8.0
151	11356341811	0.0
152	11356541985	9.0
153	11356742020	3.0
154	11356942212	7.0
155	11357140933	0.0
156	11357343022	9.0
157	11357541700	5.0
158	11357742490	12.0
159	11357942872	8.0
160	11358142777	2.0
161	11358342584	9.0
162	11358542967	1.0
163	11358742813	11.0
164	11358943148	5.0
165	11359142102	10.0
166	11359344208	2.0
167	11359544524	11.0
168	11359744523	5.0
169	11359944658	10.0
170	11360143934	1.0
171	11360345539	11.0
172	11360543877	6.0
173	11360744094	5.0
174	11360944196	12.0
175	11361144522	1.0
176	11361345826	9.0
177	11361545960	4.0
178	11361744668	8.0
179	11361944873	5.0
180	11362144925	12.0
181	11362345410	3.0
182	11362545198	7.0
183	11362747266	5.0
184	11362945419	6.0
185	11363146556	11.0
186	11363346915	3.0
187	11363546771	12.0
188	11363747088	1.0
189	11363945455	8.0
190	11364147284	4.0
191	11364347453	7.0
192	11364547483	2.0
193	11364747587	10.0
194	11364947754	3.0
195	11365147847	9.0
196	11365347905	0.0
197	11365548106	6.0
198	11365748360	11.0
199	11365948409	2.0
200	11366148549	9.0
201	11366346571	4.0
202	11366548700	10.0
203	11366746911	0.0
204	11366948926	12.0
205	11367150358	2.0
206	11367348358	6.0
207	11367548489	1.0
208	11367748666	10.0
209	11367948528	4.0
210	11370133397	7.0
211	11371404228	888.0
212	11372418813	777.0
213	11372619467	10.0
214	11372819594	1.0
215	11373019713	8.0
216	11373219766	0.0
217	11373419890	11.0
218	11373620768	4.0
219	11373823167	6.0
220	11374021047	0.0
221	11374219419	9.0
222	11374421538	1.0
223	11374621759	12.0
224	11374824216	5.0
225	11375022132	9.0
226	11375220171	7.0
227	11375422257	1.0
228	11375622262	6.0
229	11375822852	3.0
230	11376022506	7.0
231	11376222087	5.0
232	11376422087	9.0
233	11376622195	0.0
234	11376822340	7.0
235	11377022418	2.0
236	11377222446	10.0
237	11377423556	4.0
238	11377624990	9.0
239	11377822891	11.0
240	11378025037	3.0
241	11378224007	12.0
242	11378424015	2.0
243	11378622265	9.0
244	11378824288	3.0
245	11379024423	6.0
246	11379223033	2.0
247	11379425755	10.0
248	11379625584	3.0
249	11379824032	11.0
250	11380024053	5.0
251	11380225623	12.0
252	11380426101	8.0
253	11380624459	3.0
254	11380824505	6.0
255	11381024842	4.0
256	11381224805	7.0
257	11381425031	5.0
258	11381626107	11.0
259	11381826382	2.0
260	11382024556	6.0
261	11382225300	1.0
262	11382425518	9.0
263	11382625702	3.0
264	11382825816	8.0
265	11383026003	9.0
266	11383226072	4.0
267	11383426138	8.0
268	11383626819	2.0
269	11383827398	6.0
270	11384027610	1.0
271	11384227639	12.0
272	11384427714	5.0
273	11384627817	10.0
274	11384828112	0.0
275	11385028095	8.0
276	11385227598	1.0
277	11385429684	10.0
278	11385629791	7.0
279	11385829932	4.0
